INDEX_FUND,FUND_ID,EXP_RET
NIFTY 100,ID1,0.176096527
NIFTY 200,ID2,0.181787155
NIFTY 50,ID3,0.158785799
NIFTY 500,ID4,0.188228107
NIFTY ALPHA 50,ID5,0.333512246
NIFTY AUTO,ID6,0.158869166
NIFTY BANK,ID7,0.123422005
NIFTY COMMODITIES,ID8,0.154787984
NIFTY CPSE,ID9,0.131020886
NIFTY ENERGY,ID10,0.138195168
NIFTY FMCG,ID11,0.206483532
NIFTY HEALTHCARE,ID12,0.164056105
NIFTY INFRA,ID13,0.170301321
NIFTY IT,ID14,0.136867145
NIFTY LARGEMID250,ID15,0.185118856
NIFTY MEDIA,ID16,0.095701263
NIFTY METAL,ID17,0.207462052
NIFTY MICROCAP250,ID18,0.216783342
NIFTY MID LIQ 15,ID19,0.206053836
NIFTY MID SELECT,ID20,0.186134387
NIFTY MIDCAP 100,ID21,0.207150025
NIFTY MIDCAP 150,ID22,0.21473199
NIFTY MIDCAP 50,ID23,0.169660399
NIFTY MIDSML 400,ID24,0.216286117
NIFTY MNC,ID25,0.183350969
NIFTY NEXT 50,ID26,0.220042955
NIFTY PHARMA,ID27,0.127553977
NIFTY PSE,ID28,0.171216705
NIFTY PSU BANK,ID29,0.050993264
NIFTY PVT BANK,ID30,0.136478199
NIFTY REALTY,ID31,0.273518729
NIFTY SMLCAP 100,ID32,0.217424162
NIFTY SMLCAP 250,ID33,0.220378544
NIFTY SMLCAP 50,ID34,0.218784299
NIFTY TOTAL MKT,ID35,0.190322349
NIFTY100 ESG,ID36,0.16312561
NIFTY50 VALUE 20,ID37,0.123067868
